BIN;Network;Type;Category;Issuer
405040;VISA;DEBIT;CLASSIC;FUPS BANK ANONIM SIRKETI
410431;VISA;CREDIT;BUSINESS;FUPS BANK ANONIM SIRKETI
413791;VISA;CREDIT;CLASSIC;FUPS BANK ANONIM SIRKETI
420578;VISA;CREDIT;CLASSIC;FUPS BANK ANONIM SIRKETI
426889;VISA;DEBIT;BUSINESS;FUPS BANK ANONIM SIRKETI
450907;VISA;CREDIT;CLASSIC;ZIRAAT DINAMIK BANK, A.S.
540431;MASTERCARD;DEBIT;PREPAID RELOADABLE;AHLATCI ODEME VE ELEKTRONIK PARA HIZMETLERI AS
375557;AMERICAN EXPRESS;CREDIT;;AKBANK T.A.S.
413252;VISA;CREDIT;PLATINUM;AKBANK T.A.S.
425669;VISA;CREDIT;BUSINESS;AKBANK T.A.S.
432071;VISA;CREDIT;SIGNATURE;AKBANK T.A.S.
432072;VISA;CREDIT;SIGNATURE;AKBANK T.A.S.
435508;VISA;CREDIT;CLASSIC;AKBANK T.A.S.
435509;VISA;CREDIT;GOLD;AKBANK T.A.S.
456373;VISA;CREDIT;CLASSIC;AKBANK T.A.S.
474853;VISA;DEBIT;CLASSIC;AKBANK T.A.S.
474854;VISA;DEBIT;PREPAID PRIVATE LABEL STANDARD;AKBANK T.A.S.
479680;VISA;CREDIT;CLASSIC;AKBANK T.A.S.
479681;VISA;DEBIT;CLASSIC;AKBANK T.A.S.
490740;VISA;CREDIT;;AKBANK T.A.S.
512754;MASTERCARD;CREDIT;WORLD;AKBANK T.A.S.
516643;MASTERCARD;DEBIT;PREPAID RELOADABLE;AKBANK T.A.S.
516840;MASTERCARD;DEBIT;STANDARD;AKBANK T.A.S.
516841;MASTERCARD;DEBIT;PLATINUM;AKBANK T.A.S.
520932;MASTERCARD;CREDIT;STANDARD;AKBANK T.A.S.
521807;MASTERCARD;CREDIT;WORLD BLACK;AKBANK T.A.S.
521942;MASTERCARD;DEBIT;PREPAID RELOADABLE;AKBANK T.A.S.
524347;MASTERCARD;CREDIT;WORLD;AKBANK T.A.S.
534253;MASTERCARD;CREDIT;STANDARD;AKBANK T.A.S.
535280;MASTERCARD;DEBIT;COMMERCIAL;AKBANK T.A.S.
535449;MASTERCARD;DEBIT;STANDARD;AKBANK T.A.S.
550383;MASTERCARD;CREDIT;;AKBANK T.A.S.
552608;MASTERCARD;CREDIT;PREFERRED BUSINESS;AKBANK T.A.S.
552609;MASTERCARD;CREDIT;PREFERRED BUSINESS;AKBANK T.A.S.
553056;MASTERCARD;CREDIT;PREFERRED BUSINESS;AKBANK T.A.S.
557113;MASTERCARD;CREDIT;STANDARD;AKBANK T.A.S.
557829;MASTERCARD;CREDIT;GOLD;AKBANK T.A.S.
569004;LOCAL BRAND;DEBIT;PERSONAL;AKBANK T.A.S.
589004;MAESTRO;DEBIT;;AKBANK T.A.S.
677056;MAESTRO;DEBIT;;AKBANK T.A.S.
730727;PRIVATE LABEL;CREDIT;CLASSIC;AKBANK T.A.S.
979206;TROY;CREDIT;PERSONAL;AKBANK T.A.S.
979207;TROY;CREDIT;COMMERCIAL;AKBANK T.A.S.
979208;TROY;DEBIT;PERSONAL;AKBANK T.A.S.
900002;TROY;CREDIT;PERSONAL;AKTIF YATIRIM BANKASI
979213;TROY;DEBIT;PERSONAL;AKTIF YATIRIM BANKASI
979246;TROY;DEBIT;;AKTIF YATIRIM BANKASI
441115;VISA;CREDIT;CLASSIC;AKTIF YATIRIM BANKASI, A.S.
441118;VISA;DEBIT;ELECTRON;AKTIF YATIRIM BANKASI, A.S.
453144;VISA;CREDIT;CLASSIC;AKTIF YATIRIM BANKASI, A.S.
453145;VISA;CREDIT;GOLD;AKTIF YATIRIM BANKASI, A.S.
453146;VISA;CREDIT;PLATINUM;AKTIF YATIRIM BANKASI, A.S.
453147;VISA;DEBIT;PREPAID CLASSIC;AKTIF YATIRIM BANKASI, A.S.
453148;VISA;DEBIT;CLASSIC;AKTIF YATIRIM BANKASI, A.S.
515456;MASTERCARD;DEBIT;PREPAID RELOADABLE;AKTIF YATIRIM BANKASI, A.S.
516357;MASTERCARD;DEBIT;PREPAID RELOADABLE;AKTIF YATIRIM BANKASI, A.S.
517343;MASTERCARD;DEBIT;PREPAID RELOADABLE;AKTIF YATIRIM BANKASI, A.S.
528246;MASTERCARD;DEBIT;PREPAID RELOADABLE;AKTIF YATIRIM BANKASI, A.S.
